ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード,提出者法人番号
E00004,内国法人・組合,上場,有,1491,5月31日,カネコ種苗株式会社,"KANEKO SEEDS CO., LTD.",カネコシュビョウカブシキガイシャ,前橋市古市町一丁目５０番地１２,水産・農林業,13760,5070001000715
E00006,内国法人・組合,上場,有,13500,5月31日,株式会社　サカタのタネ,SAKATA SEED CORPORATION,カブシキガイシャ　サカタノタネ,横浜市都筑区仲町台２－７－１,水産・農林業,13770,6020001008662
E00007,内国法人・組合,非上場,有,1605,3月31日,株式会社雪国まいたけ,"YUKIGUNI MAITAKE CO.,LTD",カブシキガイシャユキグニマイタケ,南魚沼市余川８９番地,水産・農林業,,3010001165796
E00008,内国法人・組合,上場,有,5500,3月31日,ホクト株式会社,HOKUTO CORPORATION,ホクトカブシキガイシャ,長野市南堀１３８番地１,水産・農林業,13790,6100001003151
E00009,内国法人・組合,上場,有,452,6月30日,株式会社アクシーズ,"AXYZ Co., Ltd",カブシキガイシャアクシーズ,鹿児島市草牟田二丁目１番８号,水産・農林業,13810,5340001000258
E00010,内国法人・組合,上場,有,421,6月30日,株式会社ホーブ,"HOB Co.,Ltd.",カブシキガイシャホーブ,上川郡東神楽町１４号北１番地,水産・農林業,13820,9450001002677
E00011,内国法人・組合,上場,有,32750,3月31日,住友林業株式会社,"Sumitomo Forestry Co.,Ltd.",スミトモリンギョウカブシキガイシャ,千代田区大手町一丁目３番２号,建設業,19110,4010001090011
E00012,内国法人・組合,上場,有,5664,3月31日,株式会社　極洋,"KYOKUYO CO., LTD.",カブシキガイシャ　キョクヨウ,港区赤坂三丁目３番５号,水産・農林業,13010,1010401033225
E00013,内国法人・組合,非上場,無,12224,3月31日,株式会社マルハニチロ食品,"Maruha Nichiro Foods,Inc.",カブシキガイシャマルハニチロショクヒン,江東区豊洲三丁目２番２０号,水産・農林業,,
E00014,内国法人・組合,上場,有,30685,3月31日,日本水産株式会社,"Nippon Suisan Kaisha, Ltd.",ニッポンスイサンカブシキガイシャ,港区西新橋一丁目３番１号,水産・農林業,13320,1010001016860
E00015,内国法人・組合,上場,有,20000,3月31日,マルハニチロ株式会社,,マルハニチロカブシキガイシャ,江東区豊洲三丁目２番２０号,水産・農林業,13330,2010601040697
E00017,内国法人・組合,上場,有,2485,3月31日,株式会社ホウスイ,HOHSUI  CORPORATION,カブシキガイシャホウスイ,江東区豊洲六丁目６番３号,卸売業,13520,9010001034921
E00020,内国法人・組合,非上場,有,31000,3月31日,株式会社マルハニチロホールディングス,"Maruha Nichiro Holdings, Inc.",カブシキガイシャマルハニチロホールディングス,江東区豊洲三丁目２番２０号,水産・農林業,,
E00021,内国法人・組合,上場,有,119457,3月31日,三菱マテリアル株式会社,MITSUBISHI MATERIALS CORPORATION,ミツビシマテリアルカブシキガイシャ,千代田区大手町一丁目３番２号,非鉄金属,57110,6010001023786
E00023,内国法人・組合,上場,有,93242,3月31日,住友金属鉱山株式会社,"Sumitomo Metal Mining Co., Ltd.",スミトモキンゾクコウザンカブシキカイシャ,港区新橋５丁目１１番３号,非鉄金属,57130,9010401015273
E00024,内国法人・組合,上場,有,42129,3月31日,三井金属鉱業株式会社,"Mitsui Mining and Smelting Company, Limited",ミツイキンゾクコウギョウカブシキガイシャ,品川区大崎一丁目１１番１号,非鉄金属,57060,7010701011370
E00026,内国法人・組合,上場,有,1018,3月31日,日本精鉱株式会社,"NIHON SEIKO CO.,LTD.",ニホンセイコウカブシキガイシャ,新宿区下宮比町３－２,非鉄金属,57290,2011101016386
E00027,内国法人・組合,上場,有,12782,3月31日,中外鉱業株式会社,"Chugai Mining Co.,Ltd.",チュウガイコウギョウカブシキガイシャ,千代田区丸の内２丁目４番１号,非鉄金属,14910,7010001008720
E00028,内国法人・組合,上場,有,36437,3月31日,ＤＯＷＡホールディングス株式会社,"DOWA HOLDINGS CO.,LTD.",ドウワホールディングスカブシキガイシャ,千代田区外神田四丁目１４番１号,非鉄金属,57140,1010001008750
E00030,内国法人・組合,上場,有,7000,3月31日,日本コークス工業株式会社,"NIPPON COKE & ENGINEERING CO., LTD.",ニホンコークスコウギョウカブシキガイシャ,江東区豊洲三丁目３番３号,石油・石炭製品,33150,5010601029770
E00031,内国法人・組合（有価証券報告書等の提出義務者以外）,,,100,,住石マテリアルズ株式会社,,スミセキマテリアルズカブシキガイシャ,港区新橋六丁目１６番１２号,内国法人・組合（有価証券報告書等の提出義務者以外）,,6010401058275
E00032,内国法人・組合,上場,有,28208,3月31日,古河機械金属株式会社,"FURUKAWA CO.,LTD.",フルカワキカイキンゾクカブシキガイシャ,千代田区丸の内二丁目２番３号,非鉄金属,57150,7010001008803
E00033,内国法人・組合,上場,有,2141,3月31日,常磐興産株式会社,"Joban Kosan Co.,Ltd.",ジョウバンコウサンカブシキガイシャ,いわき市常磐藤原町蕨平５０番地,サービス業,96750,9380001014473
E00034,内国法人・組合,上場,有,3782,3月31日,太平洋興発株式会社,TAIHEIYO KOUHATSU INCORPORATED,タイヘイヨウコウハツカブシキガイシャ,台東区元浅草二丁目６番７号,卸売業,88350,8010501031238
E00035,内国法人・組合,上場,有,1100,3月31日,株式会社ニッチツ,"NITCHITSU CO.,LTD.",カブシキガイシャニッチツ,港区赤坂一丁目１１番３０号,機械,70210,4010401054508
E00036,内国法人・組合,上場,有,4176,3月31日,日鉄鉱業株式会社,"Nittetsu Mining CO.,Ltd.",ニッテツコウギョウカブシキガイシャ,千代田区丸の内二丁目３番２号,鉱業,15150,5010001008730
E00037,内国法人・組合,上場,有,8571,3月31日,三井松島ホールディングス株式会社,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",ミツイマツシマホールディングスカブシキガイシャ,福岡市中央区大手門一丁目１番１２号,鉱業,15180,5290001010634
E00040,内国法人・組合,非上場,有,7902,12月31日,関東天然瓦斯開発株式会社,"Kanto Natural Gas Development. Co., Ltd.",カントウテンネンガスカイハツカブシキガイシャ,茂原市茂原６６１番地,鉱業,,7010001034774
E00041,内国法人・組合,上場,有,14288,3月31日,石油資源開発株式会社,"Japan Petroleum Exploration Co., Ltd.",セキユシゲンカイハツカブシキガイシャ,千代田区丸の内一丁目７番１２号,鉱業,16620,3010001108219
E00043,内国法人・組合,上場,有,290809,3月31日,国際石油開発帝石株式会社,INPEX CORPORATION,コクサイセキユカイハツテイセキカブシキガイシャ,港区赤坂五丁目３番１号,鉱業,16050,7010401078520
E00045,内国法人・組合,非上場,無,68,3月31日,大室温泉株式会社,"Omuro spa Co. , Ltd",オオムロオンセンカブシキガイシャ,伊東市富戸字先原１３１７番４５６２,鉱業,,6080101013425
E00048,内国法人・組合,上場,有,161699,3月31日,大和ハウス工業株式会社,"DAIWA HOUSE INDUSTRY CO., LTD.",ダイワハウスコウギョウカブシキガイシャ,大阪市北区梅田三丁目３番５号,建設業,19250,6120001059662
E00049,内国法人・組合,上場,有,15324,3月31日,株式会社ＮＩＰＰＯ,NIPPO CORPORATION,カブシキガイシャニッポ,中央区京橋一丁目１９番１１号,建設業,18810,9010001034987
E00050,内国法人・組合（有価証券報告書等の提出義務者以外）,,,10000,,日本コムシス株式会社,,ニッポンコムシスカブシキガイシャ,品川区東五反田２丁目１７番１号,内国法人・組合（有価証券報告書等の提出義務者以外）,,4010701022825
E00051,内国法人・組合,上場,有,28463,3月31日,前田建設工業株式会社,MAEDA CORPORATION,マエダケンセツコウギョウカブシキガイシャ,千代田区富士見二丁目１０番２号,建設業,18240,4010001008789
E00052,内国法人・組合,上場,有,122742,3月31日,大成建設株式会社,taisei corporation,タイセイケンセツカブシキガイシャ,新宿区西新宿一丁目２５番１号,建設業,18010,4011101011880
E00053,内国法人・組合,上場,有,74365,3月31日,清水建設株式会社,SHIMIZU CORPORATION,シミズケンセツカブシキガイシャ,中央区京橋二丁目１６番１号,建設業,18030,1010401013565
E00055,内国法人・組合,上場,有,57752,3月31日,株式会社大林組,OBAYASHI  CORPORATION,カブシキガイシャオオバヤシグミ,港区港南二丁目１５番２号,建設業,18020,7010401088742
E00056,内国法人・組合,上場,有,30108,3月31日,株式会社　熊谷組,"Kumagaigumi Co.,Ltd.",カブシキガイシャクマガイグミ,福井市大手３丁目２番１号,建設業,18610,1210001001082
E00058,内国法人・組合,上場,有,81447,3月31日,鹿島建設株式会社,KAJIMA  CORPORATION,カジマケンセツカブシキガイシャ,港区元赤坂一丁目３番１号,建設業,18120,8010401006744
E00059,内国法人・組合,非上場,有,5012,5月31日,日本国土開発株式会社,JDC CORPORATION,ニホンコクドカイハツカブシキガイシャ,港区赤坂四丁目９番９号,建設業,,3010401022812
E00060,内国法人・組合,上場,有,23513,3月31日,西松建設株式会社,"Nishimatsu Construction  Co., Ltd.",ニシマツケンセツカブシキガイシャ,港区虎ノ門一丁目２３番１号,建設業,18200,8010401021454
E00061,内国法人・組合,上場,有,19350,3月31日,前田道路株式会社,"MAEDA ROAD CONSTRUCTION CO.,LTD.",マエダドウロカブシキガイシャ,品川区大崎１丁目１１番３号,建設業,18830,6010701009184
E00063,内国法人・組合,上場,有,5519,3月31日,飛島建設株式会社,TOBISHIMA CORPORATION,トビシマケンセツカブシキガイシャ,港区港南１丁目８番１５号,建設業,18050,8010001008703
E00064,内国法人・組合,上場,有,4000,3月31日,松井建設株式会社,"MATSUI CONSTRUCTION CO., LTD.",マツイケンセツカブシキガイシャ,中央区新川一丁目１７番２２号,建設業,18100,7010001034956
E00065,内国法人・組合,上場,有,18293,3月31日,鉄建建設株式会社,TEKKEN CORPORATION,テッケンケンセツカブシキガイシャ,千代田区神田三崎町二丁目５番３号,建設業,18150,2010001008709
E00066,内国法人・組合,上場,有,7584,3月31日,東亜道路工業株式会社,TOA ROAD CORPORATION,トウアドウロコウギョウカブシキガイシャ,港区六本木七丁目３番７号,建設業,18820,7010401020201
E00067,内国法人・組合,上場,有,12290,3月31日,日本道路株式会社,"THE NIPPON ROAD CO.,LTD.",ニッポンドウロカブシキガイシャ,港区新橋一丁目６番５号,建設業,18840,9010401023409
E00069,内国法人・組合,上場,有,3695,3月31日,株式会社錢高組,THE ZENITAKA CORPORATION,カブシキガイシャゼニタカグミ,大阪市西区西本町二丁目２番４号,建設業,18110,5120001049004
E00070,内国法人・組合,非上場,有,5468,3月31日,日鉄住金テックスエンジ株式会社,"NIPPON STEEL & SUMIKIN TEXENG.CO.,LTD.",ニッテツスミキンテックスエンジカブシキガイシャ,千代田区丸の内二丁目５番２号,建設業,,8010001062980
E00073,内国法人・組合,上場,有,3481,3月31日,株式会社中電工,CHUDENKO CORPORATION,カブシキガイシャチュウデンコウ,広島市中区小網町６番１２号,建設業,19410,9240001006971
E00074,内国法人・組合,上場,有,10264,3月31日,株式会社関電工,"KANDENKO CO.,LTD.",カブシキガイシャカンデンコウ,港区芝浦４丁目８番３３号,建設業,19420,9010401006818
E00075,内国法人・組合,上場,有,26411,3月31日,株式会社きんでん,KINDEN CORPORATION,カブシキガイシャキンデン,大阪市北区本庄東二丁目３番４１号,建設業,19440,1120001063033
E00076,内国法人・組合,上場,有,7680,3月31日,株式会社トーエネック,TOENEC CORPORATION,カブシキガイシャトーエネック,名古屋市中区栄一丁目２０番３１号,建設業,19460,8180001038758
E00078,内国法人・組合,上場,有,7415,6月30日,日本工営株式会社,"Nippon Koei Co., Ltd.",ニホンコウエイカブシキガイシャ,千代田区麹町５丁目４番地,サービス業,19540,2010001016851
E00079,内国法人・組合,上場,有,2368,3月31日,徳倉建設株式会社,,トクラケンセツカブシキガイシャ,名古屋市中区錦三丁目１３番５号,建設業,18920,5180001038835
E00080,内国法人・組合,上場,有,18976,3月31日,東亜建設工業株式会社,TOA CORPORATION,トウアケンセツコウギョウカブシキガイシャ,新宿区西新宿三丁目７番１号,建設業,18850,3011101055078
E00081,内国法人・組合,上場,有,11374,3月31日,若築建設株式会社,"WAKACHIKU CONSTRUCTION CO.,LTD.",ワカチクケンセツカブシキガイシャ,北九州市若松区浜町１－４－７,建設業,18880,6290801012011
E00082,内国法人・組合,上場,有,10683,3月31日,東洋建設株式会社,"TOYO CONSTRUCTION CO.,LTD.",トウヨウケンセツカブシキガイシャ,大阪市中央区高麗橋４丁目１番１号,建設業,18900,9120001077496
E00083,内国法人・組合,上場,有,19838,3月31日,株式会社奥村組,OKUMURA CORPORATION,カブシキガイシャオクムラグミ,大阪市阿倍野区松崎町二丁目２番２号,建設業,18330,7120001004931
E00085,内国法人・組合,上場,有,12003,3月31日,三井住友建設株式会社,"Sumitomo Mitsui Construction Co.,Ltd.",ミツイスミトモケンセツカブシキガイシャ,中央区佃二丁目１番６号,建設業,18210,2010001131477
E00086,内国法人・組合,上場,有,30449,3月31日,五洋建設株式会社,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",ゴヨウケンセツカブシキガイシャ,文京区後楽二丁目２番８号,建設業,18930,1010001000006
E00090,内国法人・組合,上場,有,57500,3月31日,株式会社　長谷工コーポレーション,HASEKO Corporation,カブシキガイシャ　ハセコウコーポレーション,港区芝二丁目３２番１号,建設業,18080,7010401024061
E00091,内国法人・組合,上場,無,275,3月31日,中央ビルト工業株式会社,"CHUO BUILD INDUSTRY CO.,LTD.",チュウオウビルトコウギョウカブシキガイシャ,中央区日本橋富沢町１１番１２号,金属製品,19710,2010001034861
E00092,内国法人・組合,上場,有,2881,3月31日,株式会社東京エネシス,TOKYO ENERGY & SYSTEMS INC.,カブシキガイシャトウキョウエネシス,中央区日本橋茅場町一丁目３番１号,建設業,19450,6010401020680
E00093,内国法人・組合,上場,有,4324,3月31日,大末建設株式会社,"DAISUE CONSTRUCTION CO., LTD.",ダイスエケンセツカブシキガイシャ,大阪市中央区久太郎町二丁目５番２８号,建設業,18140,5120001083408
E00094,内国法人・組合,上場,有,6888,3月31日,株式会社協和エクシオ,KYOWA EXEO CORPORATION,カブシキガイシャキョウワエクシオ,渋谷区渋谷三丁目２９番２０号,建設業,19510,3011001031955
E00095,内国法人・組合,上場,有,9039,3月31日,大豊建設株式会社,DAIHO CORPORATION,ダイホウケンセツカブシキガイシャ,中央区新川一丁目２４番４号,建設業,18220,3010001034869
E00097,内国法人・組合,上場,有,5000,3月31日,株式会社不動テトラ,Fudo Tetra Corporation,カブシキガイシャフドウテトラ,中央区日本橋小網町７番２号,建設業,18130,4010001141053
E00098,内国法人・組合,上場,有,6119,3月31日,ライト工業株式会社,"RAITO KOGYO CO., LTD.",ライトコウギョウカブシキガイシャ,千代田区九段北４－２－３５,建設業,19260,7010001008811
E00099,内国法人・組合,非上場,有,635,3月31日,鈴縫工業株式会社,SUZUNUI CORPORATION,スズヌイコウギョウカブシキガイシャ,日立市城南町１丁目１１番３１号,建設業,,6050001023270
E00101,内国法人・組合,上場,無,310,3月31日,サンユー建設株式会社,"SANYU CONSTRUCTION CO.,LTD.",サンユーケンセツカブシキガイシャ,大田区南雪谷２丁目１７番８号,建設業,18410,9010801004850
E00105,内国法人・組合,上場,有,5061,3月31日,株式会社ナカノフドー建設,NAKANO CORPORATION,カブシキガイシャナカノフドーケンセツ,千代田区九段北４丁目２番２８号,建設業,18270,4010001008731
E00107,内国法人・組合,上場,有,8105,3月31日,三機工業株式会社,"SANKI ENGINEERING CO.,LTD.",サンキコウギョウカブシキガイシャ,中央区明石町８番１号,建設業,19610,2010001008683
E00109,内国法人・組合,上場,無,1980,3月31日,三晃金属工業株式会社,"Sanko Metal Industrial Co., Ltd.",サンコウキンゾクコウギョウカブシキガイシャ,港区芝浦４丁目１３番２３号,建設業,19720,9010401038472
E00111,内国法人・組合,非上場,有,1086,3月31日,大和小田急建設株式会社,"Daiwa Odakyu Construction Co.,Ltd.",ダイワオダキュウケンセツカブシキガイシャ,新宿区西新宿４丁目３２番２２号,建設業,,
E00112,内国法人・組合,上場,有,2810,3月31日,東鉄工業株式会社,"TOTETSU KOGYO CO.,LTD.",トウテツコウギョウカブシキガイシャ,新宿区信濃町３４番地,建設業,18350,6011101014147
E00113,内国法人・組合,上場,有,4000,3月31日,太平電業株式会社,"TAIHEI DENGYO KAISHA,LTD.",タイヘイデンギョウカブシキガイシャ,千代田区神田神保町二丁目４番地,建設業,19680,4010001008748
E00114,内国法人・組合,上場,有,6440,3月31日,住友電設株式会社,"SUMITOMO DENSETSU CO.,LTD.",スミトモデンセツカブシキガイシャ,大阪市西区阿波座２丁目１番４号,建設業,19490,7120001044515
E00115,内国法人・組合,上場,有,8494,3月31日,日本電設工業株式会社,"NIPPON DENSETSU KOGYO CO.,LTD",ニッポンデンセツコウギョウカブシキガイシャ,台東区池之端一丁目２番２３号,建設業,19500,6010501016240
E00116,内国法人・組合,非上場,有,1120,3月31日,技研興業株式会社,"Giken Kogyo CO.,LTD",ギケンコウギョウカブシキガイシャ,杉並区阿佐谷南三丁目７番２号,建設業,,7011301012899
E00117,内国法人・組合,上場,無,4321,3月31日,株式会社イチケン,"ICHIKEN Co., Ltd.",カブシキガイシャイチケン,港区芝浦一丁目１番１号,建設業,18470,7010501028268
E00118,内国法人・組合,上場,有,2000,3月31日,南海辰村建設株式会社,"Nankai Tatsumura Construction Co., Ltd.",ナンカイタツムラケンセツカブシキガイシャ,大阪市浪速区難波中三丁目５番１９号,建設業,18500,3120001039386
E00119,内国法人・組合,上場,有,6176,3月31日,中外炉工業株式会社,"Chugai Ro Co.,Ltd.",チュウガイロコウギョウカブシキガイシャ,大阪市中央区平野町３丁目６番１号,建設業,19640,2120001049015
E00120,内国法人・組合,上場,有,9614,3月31日,株式会社淺沼組,ASANUMA CORPORATION,カブシキガイシャアサヌマグミ,大阪市浪速区湊町一丁目２番３号　マルイト難波ビル,建設業,18520,8120001022651
E00121,内国法人・組合,上場,有,1886,3月31日,佐田建設株式会社,"Sata Construction Co.,Ltd.",サタケンセツカブシキガイシャ,前橋市元総社町一丁目１番地の７,建設業,18260,9070001001420
E00127,内国法人・組合（有価証券報告書等の提出義務者以外）,,,1493,,日本電通株式会社,,ニッポンデンツウカブシキガイシャ,大阪市港区磯路２丁目２１番１号,内国法人・組合（有価証券報告書等の提出義務者以外）,,4120001030138
E00129,内国法人・組合,非上場,有,5676,3月31日,ＮＤＳ株式会社,"NDS CO.,LTD.",エヌディエスカブシキガイシャ,名古屋市中区千代田二丁目１５番１８号,建設業,,2180001039415
E00130,内国法人・組合,上場,有,1640,3月31日,株式会社　森組,"Mori-Gumi Co.,Ltd.",カブシキガイシャ　モリグミ,大阪市中央区道修町４丁目５番１７号,建設業,18530,4120001077567
E00133,内国法人・組合,上場,有,1000,12月31日,金下建設株式会社,"The Kaneshita Construction Co.,Ltd.",カネシタケンセツカブシキガイシャ,宮津市字須津４７１番地の１,建設業,18970,8130001040495
E00135,内国法人・組合,非上場,有,1091,3月31日,新生テクノス株式会社,"shinsei technos co., ltd.",シンセイテクノスカブシキガイシャ,港区芝五丁目２９番１１号,建設業,,7010401013114
E00137,内国法人・組合,上場,有,7803,3月31日,株式会社ユアテック,YURTEC CORPORATION,カブシキガイシャユアテック,仙台市宮城野区榴岡４丁目１番１号,建設業,19340,4370001006286
E00138,内国法人・組合,上場,有,5000,3月20日,株式会社ヤマト,YAMATO CORPORATION,カブシキガイシャヤマト,前橋市古市町１１８番地,建設業,19670,5070001001977
E00142,内国法人・組合,上場,有,6052,3月31日,日特建設株式会社,"NITTOC CONSTRUCTION CO.,LTD.",ニットクケンセツカブシキガイシャ,中央区東日本橋３丁目１０番６号,建設業,19290,7010001053304
E00143,内国法人・組合,上場,有,202591,1月31日,積水ハウス株式会社,"Sekisui House,Ltd.",セキスイハウスカブシキガイシャ,大阪市北区大淀中一丁目１番８８号,建設業,19280,8120001059652
E00144,内国法人・組合,非上場,有,300,3月31日,松尾建設株式会社,"matsuo construction co.,ltd.",マツオケンセツカブシキガイシャ,佐賀市多布施一丁目４番２７号,建設業,,6300001000905
E00146,内国法人・組合,上場,有,7901,3月31日,株式会社九電工,KYUDENKO CORPORATION,カブシキガイシャキュウデンコウ,福岡市南区那の川一丁目２３番３５号,建設業,19590,6290001001120
E00147,内国法人・組合,上場,有,23001,3月31日,戸田建設株式会社,TODA CORPORATION,トダケンセツカブシキガイシャ,中央区京橋１－７－１,建設業,18600,6010001034874
E00148,内国法人・組合,上場,有,6808,3月31日,矢作建設工業株式会社,"YAHAGI CONSTRUCTION CO.,LTD.",ヤハギケンセツコウギョウカブシキガイシャ,名古屋市東区葵三丁目１９番７号,建設業,18700,6180001018506
E00149,内国法人・組合,上場,有,13134,3月31日,高砂熱学工業株式会社,"Takasago Thermal Engineering Co., Ltd.",タカサゴネツガクコウギョウカブシキガイシャ,新宿区新宿六丁目２７番３０号,建設業,19690,3010001008749
E00153,内国法人・組合,上場,有,3857,3月31日,株式会社朝日工業社,"ASAHI KOGYOSHA CO.,LTD.",カブシキガイシャアサヒコウギョウシャ,港区浜松町一丁目２５番７号,建設業,19750,5010401000023
E00156,内国法人・組合,非上場,有,6293,3月31日,大林道路株式会社,OBAYASHI ROAD CORPORATION,オオバヤシドウロカブシキカイシャ,千代田区猿楽町二丁目８番８号,建設業,,4010601028815
E00157,内国法人・組合,上場,有,9812,3月31日,都築電気株式会社,"TSUZUKI DENKI CO., LTD.",ツヅキデンキカブシキガイシャ,港区新橋六丁目１９番１５号,卸売業,81570,9010401054908
E00161,内国法人・組合,上場,有,6889,3月31日,明星工業株式会社,"MEISEI INDUSTRIAL Co.,Ltd.",メイセイコウギョウカブシキガイシャ,大阪市西区京町堀１丁目８番５号,建設業,19760,1120001049032
E00165,内国法人・組合,上場,有,2000,3月31日,株式会社ＲＩＳＥ,RISE Inc.,カブシキガイシャライズ,港区西新橋三丁目１６番１１号　愛宕イーストビル３階,不動産業,88360,8010001128641
E00167,内国法人・組合,上場,有,1751,3月31日,株式会社佐藤渡辺,"WATANABE SATO CO., LTD.",カブシキガイシャサトウワタナベ,港区南麻布一丁目１８番４号,建設業,18070,5010401031200
E00168,内国法人・組合,上場,有,5753,3月31日,日比谷総合設備株式会社,"Hibiya Engineering,Ltd.",ヒビヤソウゴウセツビカブシキガイシャ,港区芝浦三丁目５番２７号,建設業,19820,9010401025405
E00169,内国法人・組合,非上場,有,50000,12月31日,株式会社竹中工務店,TAKENAKA CORPORATION,カブシキガイシャタケナカコウムテン,大阪市中央区本町四丁目１番１３号,建設業,,3120001077469
E00170,内国法人・組合,非上場,有,9068,2月末日,株式会社ヤマダ・エスバイエルホーム,"YAMADA SXL HOME CO.,LTD.",カブシキガイシャヤマダエスバイエルホーム,高崎市栄町１－１,建設業,,7120001061675
E00173,内国法人・組合,上場,有,1190,3月31日,株式会社サンテック,Sanyo Engineering & Construction Inc.,カブシキガイシャサンテック,千代田区二番町３番地１３,建設業,19600,4010001008681
E00174,内国法人・組合,上場,有,5000,3月31日,青木あすなろ建設株式会社,"Asunaro Aoki Construction Co.,Ltd.",アオキアスナロケンセツカブシキガイシャ,港区芝四丁目８－２,建設業,18650,4010401010452
E00175,内国法人・組合,上場,有,9116,3月31日,北野建設株式会社,KITANO CONSTRUCTION CORP.,キタノケンセツカブシキガイシャ,長野市県町５２４番地,建設業,18660,7100001000742
E00176,内国法人・組合,上場,有,2000,3月31日,世紀東急工業株式会社,"SEIKITOKYU KOGYO CO.,LTD.",セイキトウキュウコウギョウカブシキガイシャ,港区芝公園二丁目９番３号,建設業,18980,1010401015438
E00178,内国法人・組合,非上場,有,7002,3月31日,日成ビルド工業株式会社,"NISSEI BUILD KOGYO CO.,LTD.",ニッセイビルドコウギョウカブシキガイシャ,金沢市金石北３丁目１６番１０号,建設業,,2220001004983
E00179,内国法人・組合,上場,有,5315,3月31日,株式会社植木組,UEKI  CORPORATION,カブシキガイシャウエキグミ,柏崎市新橋２番８号,建設業,18670,8110001017149
E00181,内国法人・組合,上場,有,3451,3月31日,株式会社四電工,YONDENKO CORPORATION,カブシキガイシャヨンデンコウ,高松市花ノ宮町２丁目３番９号,建設業,19390,7470001004244
E00182,内国法人・組合,上場,無,1310,3月31日,神田通信機株式会社,"KANDA TSUSHINKI CO.,LTD.",カンダツウシンキカブシキガイシャ,千代田区神田富山町２４番地,建設業,19920,6010001013597
E00183,内国法人・組合,上場,有,6455,3月31日,株式会社大気社,Taikisha Ltd.,カブシキガイシャタイキシャ,新宿区西新宿八丁目１７番１号,建設業,19790,7011101011812
E00184,内国法人・組合,非上場,有,1600,3月31日,西部電気工業株式会社,"Seibu Electric Industry Co.,Ltd.",セイブデンキコウギョウカブシキガイシャ,福岡市博多区博多駅東三丁目７番１号,建設業,,5290001037925
E00185,内国法人・組合,上場,有,1430,3月31日,日本リーテック株式会社,"NIPPON RIETEC CO.,LTD.",ニッポンリーテックカブシキガイシャ,千代田区神田錦町一丁目６番地,建設業,19380,5011501002891
E00187,内国法人・組合,上場,有,1004,3月31日,日建工学株式会社,"NIKKEN KOGAKU CO., LTD.",ニッケンコウガクカブシキガイシャ,新宿区西新宿６丁目１０番１号,サービス業,97670,1011101015686
E00189,内国法人・組合,上場,無,590,3月31日,株式会社協和日成,"KYOWANISSEI CO.,LTD.",カブシキガイシャキョウワニッセイ,中央区入船三丁目８番５号,建設業,19810,5011001006550
E00191,内国法人・組合,非上場,有,4104,3月31日,シーキューブ株式会社,C-CUBE Corporation,シーキューブカブシキガイシャ,名古屋市中区門前町１番５１号,建設業,,6180001036656
E00193,内国法人・組合,非上場,有,2847,3月31日,株式会社ＴＴＫ,"TTK Co., Ltd.",カブシキガイシャティティケイ,仙台市若林区新寺１丁目２番２３号,建設業,,5370001004355
E00194,内国法人・組合,上場,有,4479,3月31日,ダイダン株式会社,"DAI-DAN CO.,LTD.",ダイダンカブシキガイシャ,大阪市西区江戸堀１丁目９番２５号,建設業,19800,6120001045084
E00196,内国法人・組合,上場,有,5158,12月31日,株式会社福田組,FUKUDA CORPORATION,カブシキガイシャフクダグミ,新潟市中央区一番堀通町３番地１０,建設業,18990,9110001004880
E00197,内国法人・組合,上場,有,3873,10月31日,株式会社日本ハウスホールディングス,"NIHON HOUSE HOLDINGS CO., LTD.",カブシキガイシャニホンハウスホールディングス,千代田区飯田橋四丁目３番８,建設業,18730,6400001001397
E00198,内国法人・組合,非上場,有,801,3月31日,株式会社ＳＹＳＫＥＮ,SYSKEN Corporation,カブシキガイシャシスケン,熊本市中央区萩原町１４番４５号,建設業,,3330001003635
E00199,内国法人・組合（有価証券報告書等の提出義務者以外）,,,3804,,株式会社ミライト・テクノロジーズ,,カブシキガイシャミライトテクノロジーズ,大阪市西区江戸堀三丁目３番１５号,内国法人・組合（有価証券報告書等の提出義務者以外）,,4120001048989
E00200,内国法人・組合,上場,有,11876,3月31日,東芝プラントシステム株式会社,TOSHIBA PLANT SYSTEMS & SERVICES CORPORATION,トウシバプラントシステムカブシキガイシャ,横浜市鶴見区鶴見中央四丁目３６番５号,建設業,19830,2020001086464
E00201,内国法人・組合,上場,有,1594,3月31日,名工建設株式会社,"MEIKO CONSTRUCTION CO.,LTD.",メイコウケンセツカブシキガイシャ,名古屋市中村区名駅一丁目１番４号　ＪＲセントラルタワーズ３４階,建設業,18690,1180001027354
E00202,内国法人・組合,非上場,無,500,3月31日,三信建設工業株式会社,SANSHIN CORPORATION,サンシンケンセツコウギョウカブシキガイシャ,台東区柳橋２丁目１９番６号,建設業,,6010501029787
E00204,内国法人・組合,上場,有,5907,3月31日,日本基礎技術株式会社,"japan foundation engineering co.,ltd.",ニホンキソギジュツカブシキガイシャ,大阪市北区天満１丁目９番１４号,建設業,19140,9120001072753
E00207,内国法人・組合,上場,有,3328,3月31日,北陸電気工事株式会社,"hokuriku electrical construction co.,ltd.",ホクリクデンキコウジカブシキガイシャ,富山市小中２６９番,建設業,19300,6230001003007
